"","GSM3359632","GSM3359633","GSM3359634","GSM3359635","GSM3359636","GSM3359637","GSM3359638","GSM3359639","GSM3359640","GSM3359641","GSM3359642","GSM3359643"
"H3C8",2.75096992742806,2.4725121775276,2.98938827307783,2.43731842580974,2.78120344901737,2.94223553163594,3.17173226629562,2.70045960404016,3.04181402807589,2.9305672387361,2.70519374050296,2.84966138174669
"TNFAIP8L1",4.40704153418751,4.23713333958349,3.90712581592405,4.14782343618126,4.35607604512306,4.22552280595091,3.90905395541242,3.956558936024,4.10303653194173,3.78770188418214,4.46545353877791,4.04291959548997
"OTOP2",2.97403514798726,2.7706033807092,3.0391562222713,2.47036323454313,2.70662270565618,2.82286588486848,3.47663185356453,2.80971593670072,2.84144961413317,2.8830096670841,2.85871180988254,2.62045180865046
"C17orf78",1.79229443705755,1.61231329200506,1.5802904651369,1.51542207439909,1.85753005928597,1.66223295834023,1.58729909393482,1.60318135997414,1.87319982385752,1.74245265480439,1.48620818569214,1.7535497826304
"CTAGE6",1.51857230291253,1.80181068226074,1.8785557513234,1.68127284862791,1.70917417333777,1.61504218959011,1.56822445218871,1.56217150951834,1.70616056667426,2.11303091823452,1.61021193162168,1.81056904836537
"F8A1",5.80716060803413,5.52938498782057,5.63454406097047,5.70274243383449,5.76929363183106,5.7375227753932,5.56159106112663,5.04182388833701,5.7310260203618,5.34424797709467,6.16218211598116,5.57816703334307
"LINC01098",1.89206877172952,1.4025872793621,1.80083009248636,1.32496137762399,1.64677171623035,1.41633033285235,1.87384036688892,1.38486027007961,1.60694248612092,2.04933544756157,1.44259934797297,1.58537203864907
"ARRDC5",4.89756838852762,4.75329853181645,4.60839439845415,4.93420608365907,4.91736968502822,4.85611340263995,4.46776878990281,4.77462952451637,4.6334532318052,4.49997027784066,4.35435647311074,4.44056006503398
"CGB3",6.90746844745063,6.71897167700814,7.03858989797387,6.07443202306706,6.88977360830448,6.97317191270859,6.79001119681828,6.59560236195939,7.63699879210041,7.12324454186155,6.54636487660184,6.35496818168767
"FAM86C1P",5.19991495774596,4.56891049820733,5.16157399804742,4.34400620696118,4.91457917343029,4.98659728282603,5.1778126826072,4.57970594281175,5.24440060112497,5.51976976301704,4.64357180009253,4.7870900378861
"H4C5",2.29549967930248,2.25917240760379,2.82765509162472,2.10598179855527,2.31535658340298,2.33408730166875,2.97653314607709,2.49314050847406,2.89980089890395,2.59477973057696,2.31267720158002,2.61434965905121
"H2BC7",2.18106948912504,2.05736660057913,2.98650671985315,1.96138425608926,2.36720983717458,2.4801195597993,2.41167718429304,2.99738428488281,2.33553261660512,2.44801115837406,2.03997203612675,2.40396036451833
"C2CD4B",1.98362009541661,1.89382223807503,1.67242417485224,1.65381892456533,1.84654248490043,1.93317454643612,2.28840613927622,1.63276452598165,2.20768346855984,2.39442754977268,1.98362009541661,1.73349574934652
"H2BC6",2.66207373804603,2.41320571171274,2.63584973329488,2.02660193755051,2.51123709388816,2.58331876728903,2.5054354791263,2.63230987247403,3.07579710191853,3.33811079529891,2.58623511481363,2.34215948908613
"H3C1",2.14724290556418,1.39547106306584,1.91474314776654,1.40258274246013,1.96448925433918,1.92733149235658,1.87340519695269,1.90709307554305,2.09425252275031,2.12049618322193,1.97638612080281,1.47467221110835
"RAB3D",4.54181143204882,3.863638099085,4.64930760825771,3.46652804595879,4.24869133898237,4.53243609219705,3.54971187337706,4.58060880239636,4.06665840550283,4.49952998595543,3.59266373021232,3.63397465801135
"PDZD9",2.1284554684246,2.07118032646732,2.29614068617611,1.96139137515846,2.14649622997831,2.39504017640074,2.84938606129027,2.25676618272883,2.24416556338529,2.54686629481563,2.12280676439899,2.54615405084029
"CACNG8",5.92338253191554,5.75359605487481,5.65698589086155,5.41996269026564,5.96246754441844,6.04893783992688,6.66965440468768,5.65774629121633,5.93446346271229,7.09453094850044,5.67598042227838,6.03265200806536
